cyclone_id,disturbance_id,cyclone_name,season_year,season_label,month,peak_datetime,first_in_region,last_in_region,hours_in_region,category,category_from_pres,max_wind_ms,max_wind_kmh,min_pressure_hpa,peak_lat,peak_lon,km_to_port_hedland,close_port_hedland,km_to_dampier,close_dampier,track_points,data_tier
1,AU201415_16U,Olwyn,2015,2014-15,2015-03-01,2015-03-12 18:00:00,2015-03-11 18:00:00,2015-03-13 00:00:00,30.0,3,3,38.6,139.0,955.0,-22.21,113.74,413.8,False,231.4,False,28,A
2,AU201415_21U,Quang,2015,2014-15,2015-05-01,2015-05-01 03:00:00,2015-05-01 03:00:00,2015-05-01 12:00:00,9.0,2,1,28.3,101.9,985.0,-21.2,113.6,458.8,False,276.6,False,21,A
3,AU201516_08U,Stan,2016,2015-16,2016-01-01,2016-01-30 06:00:00,2016-01-29 06:00:00,2016-01-31 06:00:00,48.0,2,2,28.3,101.9,980.0,-18.7,118.9,135.3,True,315.7,False,21,A
4,AU201617_14U,Unnamed,2017,2016-17,2017-01-01,2017-01-28 06:00:00,2017-01-26 18:00:00,2017-01-28 06:00:00,36.0,1,1,23.2,83.5,986.0,-20.3,113.0,184.4,False,141.8,True,22,A
5,AU201617_22U,Unnamed,2017,2016-17,2017-03-01,2017-03-23 03:00:00,2017-03-22 06:00:00,2017-03-23 18:00:00,36.0,2,1,25.7,92.5,985.0,-20.0,118.4,8.4,True,176.8,False,21,A
6,AU201718_06U,Hilda,2017,2017-18,2017-12-01,2017-12-27 09:00:00,2017-12-27 09:00:00,2017-12-28 18:00:00,33.0,2,2,28.3,101.9,980.0,-17.8,122.2,322.0,False,519.2,False,14,A
7,AU201718_09U,Joyce,2018,2017-18,2018-01-01,2018-01-12 12:00:00,2018-01-11 12:00:00,2018-01-13 12:00:00,48.0,2,2,25.7,92.5,975.0,-20.1,119.9,91.3,True,208.7,False,34,A
8,AU201718_17U,Kelvin,2018,2017-18,2018-02-01,2018-02-18 06:00:00,2018-02-16 06:00:00,2018-02-18 12:00:00,54.0,3,3,41.2,148.3,955.0,-19.8,122.1,239.3,False,433.7,False,35,A
9,AU201819_12U,Riley,2019,2018-19,2019-01-01,2019-01-27 06:00:00,2019-01-26 06:00:00,2019-01-27 06:00:00,24.0,3,2,36.0,129.6,971.0,-17.6,113.7,349.1,False,343.0,False,51,A
10,AU201819_19U,Veronica,2019,2018-19,2019-03-01,2019-03-24 00:00:00,2019-03-22 00:00:00,2019-03-26 18:00:00,114.0,4,4,48.9,176.0,941.0,-20.0,117.6,91.8,True,35.0,True,41,A
