min_category,within_km,events,events_per_year,return_period_years,prob_at_least_one_per_year,observation_years
1,100,5,0.435,2.3,0.353,11.5
1,200,12,1.044,1.0,0.648,11.5
1,500,23,2.001,0.5,0.865,11.5
2,100,4,0.348,2.9,0.294,11.5
2,200,9,0.783,1.3,0.543,11.5
2,500,16,1.392,0.7,0.751,11.5
3,100,2,0.174,5.7,0.16,11.5
3,200,6,0.522,1.9,0.407,11.5
3,500,10,0.87,1.1,0.581,11.5
4,100,2,0.174,5.7,0.16,11.5
4,200,3,0.261,3.8,0.23,11.5
4,500,3,0.261,3.8,0.23,11.5
5,100,0,0.0,,0.0,11.5
5,200,1,0.087,11.5,0.083,11.5
5,500,1,0.087,11.5,0.083,11.5
